Wort_1;Wort_2;Madoo_Nutzername;Datei_T_Spalte1;Datei_T_Spalte1;Datei_P_Spalte1;Datei_P_Spalte2;Kategorie
B;B;;;;;;PLOSIV
D;D;;;;;;PLOSIV
F;F;;;;;;FRIKATIV
G;G;;;;;;PLOSIV
H;H;;;;;;APPROXIMANT
J;J;;;;;;APPPROXIMANT
K;K;;;;;;PLOSIV
L;L;;;;;;APPROXIMANT
M;M;;;;;;FRIKATIV
N;N;;;;;;FRIKATIV
P;P;;;;;;PLOSIV
R;R;;;;;;FRIKATIV
S;S;;;;;;FRIKATIV
T;T;;;;;;PLOSIV
W;W;;;;;;APPROXIMANT
SS;SS;;;;;;FRIKATIV
SCH;SCH;;;;;;FRIKATIV
CH1;CH1;;;;;;FRIKATIV
CH2;CH2;;;;;;FRIKATIV
