Wort_1;Wort_2;Madoo_Nutzername;Datei_T_Spalte1;Datei_T_Spalte2;Datei_P_Spalte2;Datei_P_Spalte2_1;Kategorie
Pfand;fand;S.Hellwig;;;;;I
Pferd;fährt;S.Hellwig;;;;;I
Pfund;Fund;S.Hellwig;;;;;I
Pfahl;fahl;S.Hellwig;;;;;I
pfänden;fänden;S.Hellwig;;;;;I
Pflug;Flug;S.Hellwig;;;;;I
Pflock;flog;S.Hellwig;;;;;I
