Wort_1;Wort_2;Madoo_Nutzername;Datei_T_Spalte1;Datei_T_Spalte1;Datei_P_Spalte1;Datei_P_Spalte2;Kategorie
A;A;;;;;;LANG
Ä;Ä;;;;;;LANG
E;E;;;;;;LANG
I;I;;;;;;LANG
O;O;;;;;;LANG
Ö;Ö;;;;;;LANG
U;U;;;;;;LANG
Ü;Ü;;;;;;LANG
A;A;;;;;;KURZ
Ä;Ä;;;;;;KURZ
E;E;;;;;;KURZ
I;I;;;;;;KURZ
O;O;;;;;;KURZ
Ö;Ö;;;;;;KURZ
U;U;;;;;;KURZ
Ü;Ü;;;;;;KURZ
